"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"001","""M""","New York, London, Paris, Munich","20","1979","MCA","0062.147","VG+","VG+",,,
"766","10 C.C.","Profile","30","1979","Decca","6.24012","NM","NM",,,
"002","ABC","The Lexicon Of Love","25","1982","Vertigo","6359 099","VG","VG",,,
"802","Adriano Celentano","Viva Italia - 20 Super Songs","35","1980","Ariola","31 207 4","NM","NM",,,
"003","Al Stewart","Time Passages (Gatefold)","35","1978","RCA Victor","PL 25173","VG+","VG+",,,
"819","Al Stewart","And Shot In The dark/24 Carrots","30","1980","RCA Victor","PL 25306","NM","NM",,,
"858","Al Stewart","Indian Summer - Live (Double LP)","45","1981","RCA","PL 25391","NM","NM",,,
"004","Albert Hammond","Your World and My World","25","1981","CBS","CBS84824","VG+","VG",,,
"005","Alice","Gioielli Rubati","25","1985","EMI","1A064-118709","NM","NM",,,
"006","Alice","Per Lisa","25","1981","EMI Elecrola","1C064-18543A","NM","VG+",,,
"007","Alison Moyet","Alf","35","1984","CBS","CBS26229","NM","NM",,,
"008","Alison Moyet","Raindancing","35","1987","CBS","CBS4501521","VG+","VG+",,,
"009","Alphonso Johnson","Spellbound","20","1977","Epic","EPC82197","VG+","G",,,
"784","Amanda Lear","Sweet Revenge (Gatefold)","30","1978","Ariola","25 900OT","NM","NM",,,
"861","Amanda Lear","I Am A Photograph (+Full Color Poster)","35","1977","Ariola","25473OT","NM","NM",,,
"010","Ananta","Night and Daydream","35","1978","Touchstone","BBT 112-T","NM","NM",,,
"011","Andersson, Rice, Ulvaeus","Chess (Double LP)","40","1984","RCA","PL70500","VG","VG+",,,
"012","Andre Brasseur","Early Bird","25","1970","Bellaphon","Bl1599","VG+","VG",,,
"013","Andreas Vollenweider","...Behind The Gardens - Behind The Wall-...","30","1981","CBS","CBS85 545","VG+","VG+",,,
"014","Andy Gibb","Shadow Dancing","30","1978","RSO","RS 1 3034","VG+","VG",,,
"015","Andy Williams","Honey","25","1968","CBS","S 63311","VG+","VG+",,,
"016","Angelo Branduardi","Cercando l'oro (Gatefold Cover)","20","1983","Musiza","46 956 9","VG+","VG+",,,
"017","Angelo Branduardi","Cogli la prima mela (Gatefold Cover)","20","1979","Musiza","200 940","VG","VG+",,,
"018","Angelo Branduardi","Fables and Fantasies","25","1979","Musiza","200 906-320","VG+","VG+",,,
"019","Anthony Rooley and James Tyler","My Lute Awake!","30","1974","L'Oiseau","SOL336","VG+","VG",,,
"020","Antony Ventura Orchestra","Die Schonsten Melodien der Welt","15",,"Ariola","203 260","VG+","VG+",,,
"021","Apollo 100","Coutdown","30","1975","Bellaphon","BL15149","VG","VG",,,
"022","Apollonia","Apollonia","25","1988","Warner","925 594-1","VG+","VG+",,,
"708","Asia","Asia","35","1982","Geffen","GEF85577","VG+","G",,,
"023","Atma","In Transit","20","1985","Lotus","BBT-S-30","VG+","VG",,,
"024","Barbara Thompson","Heavenly Bodies","25","1986","VeraBra Rec.","No.15","VG+","VG",,,
"025","Barbara Thompson's Paraphenalia","Pure Fantasy","30","1984","VeraBra Rec.","No.8","NM","NM",,,
"026","Barbra Streisand","Guilty (Gatefold)","30","1980","CBS","CBS86122","VG+","VG+",,,
"027","Barclay James Harvest","Eyes of the Universe","25","1979","Polydor","2383 557","VG","VG",,,
"028","Barclay James Harvest","Gone To Earth","30","1977","Polydor","27684 0","VG+","VG+",,,
"029","Barclay James Harvest","The Best Of Barclay James Harvest","30","1977","Harvest","32 044 0","VG+","VG+",,,
"030","Barclay James Harvest","XII","35","1978","Polydor","2460282","VG+","VG+",,,
"031","Barry Manilow","Swing Street","25","1987","Arista","15 467 4","VG+","VG+",,,
"750","Barry Manilow","The Best Of (Gatefold)","30","1978","Arista /Horzu","1 C 064-61 754","NM","VG+",,,
"035","Bay City Rollers","Dedication","15","1976","Bell","1C 062-98177","VG","G",,,
"036","Bay City Rollers","It's A Game (Gatefold Cover)","20","1977","Arista","1C 064-99131","VG+","VG+",,,
"037","Bay City Rollers","Strangers In The Wind","20","1978","Arista","1C 064-61603","VG+","VG+",,,
"038","Bee Gees","Goldene Serie - International","25","1976","Polydor","63 974","VG+","VG+",,,
"039","Bee Gees","Here At Last ….Live (Double-Gatefold)","45","1977","RSO","2658 120","NM","VG+",,,
"040","Bee Gees","Horizontal","25","1968","Polydor","184 122","VG","VG",,,
"041","Bee Gees","Mr. Natural","25","1974","RSO","2394 132","VG+","G",,,
"042","Bee Gees","Spirits Having Flown (Gatefold)","35","1979","RSO","2394216","VG+","VG+",,,
"757","Bee Gees","Children Of The World","35","1976","RSO","2394 169","NM","NM",,,
"805","Bee Gees","Portrait of the Bee Gees","25","1973","Polydor Special","2482 091","VG+","VG+",,,
"866","Bee Gees","Best (Double LP)","35","1973","Karusell","2674 007","VG+","VG+",,,
"044","Bernie Paul","It's A Wild Life","25","1981","Ariola","91 318 6","NM","NM",,,
"045","Beverley Craven","Beverley Craven","40","1990","Epic","467053 1","NM","NM",,,
"047","Bill Haley and His Comets","Rip It Up!","15","1968","Coral","COPS4574","VG","G",,,
"048","Bill Haley and His Comets","Rock Around The Clock -Live!","15",,"Bellaphon","BI1553","VG+","VG",,,
"049","Billy Squier","Emotions in Motion","35","1982","Capitol","1C 064-400 106","VG+","VG+",,,
"050","Billy Swan","I Can Help","25","1974","Monument","MNT80615","VG+","VG+",,,
"051","Bing Crosby","The Best of Bing","25","1974","MCA","MCF2540","VG+","VG+",,,
"052","Black Oak","Race With The Devil","35","1977","Capricorn","2476137","VG+","VG+",,,
"827","Blood Sweat & Tears","Nuclear Blues","25","1980","LA Records","31 477 3","VG","VG",,,
"754","Blood Sweat & Tears","In Concert (2LP)","40","1976","CBS","CBS22006","NM","VG+",,,
"054","Blue Roseland Orchestra","Blue Roseland Orchestra","20","1974","WAM","MLP 15.517","NM","NM",,,
"057","Bob Welch","Three Hearts","30","1979","Capitol","1 C 064-85 807","NM","NM",,,
"058","Bohannon","Hamilton Bohannon","20","1975","EMI Electrola","1 C 062-97 422","G","G",,,
"732","Boney M","The Magic Of Boney M -20 Golden Hits","45","1980","Hansa","201 666-502","VG+","VG+",,,
"064","Brenda Cochrane","In Dreams","25","1991","Polydor","849 034-1","VG+","VG+",,,
"065","Brenda Cochrane","The Voice","25","1990","Polydor","843 141-1","NM","VG+",,,
"814","Brian Ferry","Lets Stick Together","35","1976","Polydor","2302045","VG+","VG+",,,
"066","Brother Beyond","Get Even","25","1988","EMI","064-79 1069","VG+","VG",,,
"068","Carl Douglas","Kung Fu Fighter","30","1974","PYE","88 465XOT","VG+","VG+",,,
"069","Carly Simon","Torch","30","1981","WB","WB56935","VG+","VG+",,,
