"Artist","Album","Pret Lei","An","Casa de discuri (label)","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"""M""","New York, London, Paris, Munich","20","1979","MCA","0062.147","VG+","VG+",,,
"10 C.C.","Profile","30","1979","Decca","6.24012","NM","NM",,,
"ABC","The Lexicon Of Love","25","1982","Vertigo","6359 099","VG","VG",,,
"Adriano Celentano","Viva Italia - 20 Super Songs","35","1980","Ariola","31 207 4","NM","NM",,,
"Al Stewart","Time Passages (Gatefold)","35","1978","RCA Victor","PL 25173","VG+","VG+",,,
"Al Stewart","And Shot In The dark/24 Carrots","30","1980","RCA Victor","PL 25306","NM","NM",,,
"Al Stewart","Indian Summer - Live (Double LP)","45","1981","RCA","PL 25391","NM","NM",,,
"Albert Hammond","Your World and My World","25","1981","CBS","CBS84824","VG+","VG",,,
"Alice","Gioielli Rubati","25","1985","EMI","1A064-118709","NM","NM",,,
"Alice","Per Lisa","25","1981","EMI Elecrola","1C064-18543A","NM","VG+",,,
"Alison Moyet","Alf","35","1984","CBS","CBS26229","NM","NM",,,
"Alison Moyet","Raindancing","35","1987","CBS","CBS4501521","VG+","VG+",,,
"Alphonso Johnson","Spellbound","20","1977","Epic","EPC82197","VG+","G",,,
"Amanda Lear","Sweet Revenge (Gatefold)","30","1978","Ariola","25 900OT","NM","NM",,,
"Amanda Lear","I Am A Photograph (+Full Color Poster)","35","1977","Ariola","25473OT","NM","NM",,,
"Ananta","Night and Daydream","35","1978","Touchstone","BBT 112-T","NM","NM",,,
"Andersson, Rice, Ulvaeus","Chess (Double LP)","40","1984","RCA","PL70500","VG","VG+",,,
"Andre Brasseur","Early Bird","25","1970","Bellaphon","Bl1599","VG+","VG",,,
"Andreas Vollenweider","...Behind The Gardens - Behind The Wall-...","30","1981","CBS","CBS85 545","VG+","VG+",,,
"Andy Gibb","Shadow Dancing","30","1978","RSO","RS 1 3034","VG+","VG",,,
"Andy Williams","Honey","25","1968","CBS","S 63311","VG+","VG+",,,
"Angelo Branduardi","Cercando l'oro (Gatefold Cover)","20","1983","Musiza","46 956 9","VG+","VG+",,,
"Angelo Branduardi","Cogli la prima mela (Gatefold Cover)","20","1979","Musiza","200 940","VG","VG+",,,
"Angelo Branduardi","Fables and Fantasies","25","1979","Musiza","200 906-320","VG+","VG+",,,
"Anthony Rooley and James Tyler","My Lute Awake!","30","1974","L'Oiseau","SOL336","VG+","VG",,,
"Antony Ventura Orchestra","Die Schonsten Melodien der Welt","15",,"Ariola","203 260","VG+","VG+",,,
"Apollo 100","Coutdown","30","1975","Bellaphon","BL15149","VG","VG",,,
"Apollonia","Apollonia","25","1988","Warner","925 594-1","VG+","VG+",,,
"Asia","Asia","35","1982","Geffen","GEF85577","VG+","G",,,
"Atma","In Transit","20","1985","Lotus","BBT-S-30","VG+","VG",,,
"Barbara Thompson","Heavenly Bodies","25","1986","VeraBra Rec.","No.15","VG+","VG",,,
"Barbara Thompson's Paraphenalia","Pure Fantasy","30","1984","VeraBra Rec.","No.8","NM","NM",,,
"Barbra Streisand","Guilty (Gatefold)","30","1980","CBS","CBS86122","VG+","VG+",,,
"Barclay James Harvest","Eyes of the Universe","25","1979","Polydor","2383 557","VG","VG",,,
"Barclay James Harvest","Gone To Earth","30","1977","Polydor","27684 0","VG+","VG+",,,
"Barclay James Harvest","The Best Of Barclay James Harvest","30","1977","Harvest","32 044 0","VG+","VG+",,,
"Barclay James Harvest","XII","35","1978","Polydor","2460282","VG+","VG+",,,
"Barry Manilow","Swing Street","25","1987","Arista","15 467 4","VG+","VG+",,,
"Barry Manilow","The Best Of (Gatefold)","30","1978","Arista /Horzu","1 C 064-61 754","NM","VG+",,,
"Bay City Rollers","Dedication","15","1976","Bell","1C 062-98177","VG","G",,,
"Bay City Rollers","It's A Game (Gatefold Cover)","20","1977","Arista","1C 064-99131","VG+","VG+",,,
"Bay City Rollers","Strangers In The Wind","20","1978","Arista","1C 064-61603","VG+","VG+",,,
"Bee Gees","Goldene Serie - International","25","1976","Polydor","63 974","VG+","VG+",,,
"Bee Gees","Here At Last ….Live (Double-Gatefold)","45","1977","RSO","2658 120","NM","VG+",,,
"Bee Gees","Horizontal","25","1968","Polydor","184 122","VG","VG",,,
"Bee Gees","Mr. Natural","25","1974","RSO","2394 132","VG+","G",,,
"Bee Gees","Spirits Having Flown (Gatefold)","35","1979","RSO","2394216","VG+","VG+",,,
"Bee Gees","Children Of The World","35","1976","RSO","2394 169","NM","NM",,,
"Bee Gees","Portrait of the Bee Gees","25","1973","Polydor Special","2482 091","VG+","VG+",,,
"Bee Gees","Best (Double LP)","35","1973","Karusell","2674 007","VG+","VG+",,,
"Bernie Paul","It's A Wild Life","25","1981","Ariola","91 318 6","NM","NM",,,
"Beverley Craven","Beverley Craven","40","1990","Epic","467053 1","NM","NM",,,
"Bill Haley and His Comets","Rip It Up!","15","1968","Coral","COPS4574","VG","G",,,
"Bill Haley and His Comets","Rock Around The Clock -Live!","15",,"Bellaphon","BI1553","VG+","VG",,,
"Billy Squier","Emotions in Motion","35","1982","Capitol","1C 064-400 106","VG+","VG+",,,
"Billy Swan","I Can Help","25","1974","Monument","MNT80615","VG+","VG+",,,
"Bing Crosby","The Best of Bing","25","1974","MCA","MCF2540","VG+","VG+",,,
"Black Oak","Race With The Devil","35","1977","Capricorn","2476137","VG+","VG+",,,
"Blood Sweat & Tears","Nuclear Blues","25","1980","LA Records","31 477 3","VG","VG",,,
"Blood Sweat & Tears","In Concert (2LP)","40","1976","CBS","CBS22006","NM","VG+",,,
"Blue Roseland Orchestra","Blue Roseland Orchestra","20","1974","WAM","MLP 15.517","NM","NM",,,
"Bob Welch","Three Hearts","30","1979","Capitol","1 C 064-85 807","NM","NM",,,
"Bohannon","Hamilton Bohannon","20","1975","EMI Electrola","1 C 062-97 422","G","G",,,
"Boney M","The Magic Of Boney M -20 Golden Hits","45","1980","Hansa","201 666-502","VG+","VG+",,,
"Brenda Cochrane","In Dreams","25","1991","Polydor","849 034-1","VG+","VG+",,,
"Brenda Cochrane","The Voice","25","1990","Polydor","843 141-1","NM","VG+",,,
"Brian Ferry","Lets Stick Together","35","1976","Polydor","2302045","VG+","VG+",,,
"Brother Beyond","Get Even","25","1988","EMI","064-79 1069","VG+","VG",,,
"Carl Douglas","Kung Fu Fighter","30","1974","PYE","88 465XOT","VG+","VG+",,,
"Carly Simon","Torch","30","1981","WB","WB56935","VG+","VG+",,,
"Carmel","The Falling","25","1986","London","828 014-1","VG+","VG",,,
"Carolyne Mas","Mas Hysteria","30","1980","Mercury","6337 163","VG+","VG+",,,
"Cat Stevens","Cat Stevens","30","1973","Decca","210.005","NM","VG+",,,
"Cat Stevens","The Beginning Series (vol.10) (Best Of)","25","1973","Deram","NDM820","NM","NM",,,
"Cat Stevens","Tea For The Tillerman (Gatefold)","25",,"Island","6339020","VG+","VG+",,,
"Cat Stevens","Buddha and the Chocolate Box","30","1974","Island","87 801 XOT","VG+","VG+",,,
"Cat Stevens","Izitso","30","1977","Island","28 824XOT","NM","VG+",,,
"Cat Stevens","Mona Bone Jakon","30","1975","Island","85 687","NM","VG+",,,
"Cat Stevens","Numbers","35","1975","Island","89 680GT","NM","VG+",,,
"Cat Stevens","Profile","25","1979","Decca","6.24006","VG+","VG",,,
"Cat Stevens","Morning Has Broken","40","1981","Island","204 353","NM","NM",,,
"Cat Stevens","Greatest Hits","35","1975","Island","89091XOT","VG+","VG+",,,
"Chaka Khan","Chaka Khan","30","1982","WB","92.3729-1","VG+","VG+",,,
"Champaign","How 'bout Us","25","1981","Columbia","AL37008","VG+","VG",,,
"Charles Aznavour","J'Aime Paris","30",,"Telefunken","NT 212","NM","NM",,,
"Cher","The Very Best Of","30","1975","United Artists","UAS29 758 Z","NM","NM",,,
"Chicago","Chicago IX Chicago's Greatest Hits","20","1975","CBS","BL 33900","VG+","VG",,,
"Chicago","XI (Gatefold)","35","1977","CBS","JC 34860","VG+","VG+",,,
"Chicago","Hot Streets (Gatefold)","30","1978","CBS","CBS86069","VG+","VG",,,
"Chicago","X (Gatefold)","30","1976","CBS","CBS86010","VG+","VG",,,
"China Crises","Working with Fire and Steel","25","1983","Virgin","205 798","VG","VG+",,,
"Chris De Burgh","Best Moves","30","1981","A&M","AMLH 68532","NM","NM",,,
"Chris De Burgh","Crusader","30","1979","A&M","AMLH 64746","VG+","VG+",,,
"Chris De Burgh","Far Beyond These Castle Walls","30","1975","A&M","AMNP 112","NM","NM",,,
"Chris De Burgh","Into the Light","30","1986","A&M","395 121-1","NM","NM",,,
"Chris De Burgh","Man On The Line","30","1984","A&M","AMLX65002","NM","NM",,,
"Chris De Burgh","Spanish Train and Other Stories","30","1975","A&M","393 143-1","VG+","VG+",,,
"Chris De Burgh","The Getaway","30","1982","A&M","AMLH 68549","NM","NM",,,
"Christie","Christie","20","1979","Pronit","SX 0771","VG+","VG+",,,
"Christopher Cross","Another Page","25","1983","WB","92.3757-1","VG+","VG+",,,
"Christopher Cross","Christopher Cross","35","1979","Warner Bros.","WB 56 789","VG+","VG+",,,
"Chubby Checker","In Germany (Live)","20",,"Ariola","70 450 IT","VG+","VG",,,
"Chuck Berry","Reelin' and Rokin'","30","1984","Topline","Top 117","VG+","VG+",,,
